mapping_type,source_system,source_key_type,source_product_id,source_variation_id,source_value,target_table,target_id,target_key,target_label,action,notes
product,woocommerce,product_variation,10122,10123,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Primary Woo Tirzepatide pair
product_unmapped,woocommerce,product_variation,331,333,,products,,,,needs_pp_monthly_product,Monthly Tirzepatide subscription. Do not map to 3-month PP product
product,woocommerce,product_variation,331,332,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Legacy Woo Tirzepatide pair
product_unmapped,woocommerce,product_variation,366,368,,products,,,,needs_pp_monthly_product,Monthly Tirzepatide Black Friday subscription. Do not map to 3-month PP product
product,woocommerce,product_variation,366,367,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Legacy Woo Tirzepatide pair
product,woocommerce,product_variation,331,0,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Legacy Woo Tirzepatide product without variation
product,woocommerce,product_variation,515177,515266,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Low volume Woo Tirzepatide pair
product,woocommerce,product_variation,10122,0,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Primary Woo Tirzepatide product without variation
product,woocommerce,product_variation,120,124,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Very low volume Woo Tirzepatide pair
product,woocommerce,product_variation,120,123,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Very low volume Woo Tirzepatide pair
product,woocommerce,product_variation,120,121,,products,95737fde-85a1-48b0-871d-f14a6d3bb400,compounded-tirzepatide,Compounded Tirzepatide,map,Very low volume Woo Tirzepatide pair
product,woocommerce,product_variation,10116,10119,,products,3435f2fd-4d09-4704-a52e-c722775f8445,compounded-semaglutide,Compounded Semaglutide,map,Primary Woo Semaglutide pair
product_unmapped,woocommerce,product_variation,10116,10120,,products,,,,needs_pp_monthly_product,Monthly Semaglutide subscription. Do not map to 3-month PP product
product_unmapped,woocommerce,product_variation,369,371,,products,,,,needs_pp_monthly_product,Monthly Semaglutide VIP subscription. Do not map to 3-month PP product
product,woocommerce,product_variation,369,370,,products,3435f2fd-4d09-4704-a52e-c722775f8445,compounded-semaglutide,Compounded Semaglutide,map,Legacy Woo Semaglutide pair
product_unmapped,woocommerce,product_variation,251,253,,products,,,,needs_pp_monthly_product,Monthly Semaglutide Black Friday subscription. Do not map to 3-month PP product
product,woocommerce,product_variation,251,252,,products,3435f2fd-4d09-4704-a52e-c722775f8445,compounded-semaglutide,Compounded Semaglutide,map,Legacy Woo Semaglutide pair
product,woocommerce,product_variation,369,0,,products,3435f2fd-4d09-4704-a52e-c722775f8445,compounded-semaglutide,Compounded Semaglutide,map,Legacy Woo Semaglutide product without variation
